match_id,team1,team2,city,venue,season,team1_runs,team2_runs,winner
1175359,Punjab Kings,Rajasthan Royals,Jaipur,Sawai Mansingh Stadium,2019,184,170.0,Kings XI Punjab
1175360,Delhi Capitals,Chennai Super Kings,Delhi,Arun Jaitley Stadium,2019,147,150.0,Chennai Super Kings
1175361,Kolkata Knight Riders,Punjab Kings,Kolkata,Eden Gardens,2019,218,190.0,Kolkata Knight Riders
1175362,Mumbai Indians,Royal Challengers Bangalore,Bengaluru,M Chinnaswamy Stadium,2019,187,181.0,Mumbai Indians
1175363,Rajasthan Royals,Sunrisers Hyderabad,Hyderabad,Rajiv Gandhi International Stadium,2019,198,201.0,Sunrisers Hyderabad
1175364,Mumbai Indians,Punjab Kings,Mohali,Punjab Cricket Association IS Bindra Stadium,2019,176,177.0,Kings XI Punjab
1175365,Kolkata Knight Riders,Delhi Capitals,Delhi,Arun Jaitley Stadium,2019,185,185.0,Delhi Capitals
1175366,Sunrisers Hyderabad,Royal Challengers Bangalore,Hyderabad,Rajiv Gandhi International Stadium,2019,231,113.0,Sunrisers Hyderabad
1175367,Chennai Super Kings,Rajasthan Royals,Chennai,MA Chidambaram Stadium,2019,175,167.0,Chennai Super Kings
1175368,Punjab Kings,Delhi Capitals,Mohali,Punjab Cricket Association IS Bindra Stadium,2019,166,152.0,Kings XI Punjab
1175369,Royal Challengers Bangalore,Rajasthan Royals,Jaipur,Sawai Mansingh Stadium,2019,158,164.0,Rajasthan Royals
1175370,Mumbai Indians,Chennai Super Kings,Mumbai,Wankhede Stadium,2019,170,133.0,Mumbai Indians
1175371,Delhi Capitals,Sunrisers Hyderabad,Delhi,Arun Jaitley Stadium,2019,129,131.0,Sunrisers Hyderabad
1175372,Royal Challengers Bangalore,Kolkata Knight Riders,Bengaluru,M Chinnaswamy Stadium,2019,205,206.0,Kolkata Knight Riders
1178393,Chennai Super Kings,Punjab Kings,Chennai,MA Chidambaram Stadium,2019,160,138.0,Chennai Super Kings
1178394,Mumbai Indians,Sunrisers Hyderabad,Hyderabad,Rajiv Gandhi International Stadium,2019,136,96.0,Mumbai Indians
1178395,Royal Challengers Bangalore,Delhi Capitals,Bengaluru,M Chinnaswamy Stadium,2019,149,152.0,Delhi Capitals
1178396,Rajasthan Royals,Kolkata Knight Riders,Jaipur,Sawai Mansingh Stadium,2019,139,140.0,Kolkata Knight Riders
1178397,Sunrisers Hyderabad,Punjab Kings,Mohali,Punjab Cricket Association IS Bindra Stadium,2019,150,151.0,Kings XI Punjab
1178398,Kolkata Knight Riders,Chennai Super Kings,Chennai,MA Chidambaram Stadium,2019,108,111.0,Chennai Super Kings
1178399,Punjab Kings,Mumbai Indians,Mumbai,Wankhede Stadium,2019,197,198.0,Mumbai Indians
1178400,Rajasthan Royals,Chennai Super Kings,Jaipur,Sawai Mansingh Stadium,2019,151,155.0,Chennai Super Kings
1178401,Kolkata Knight Riders,Delhi Capitals,Kolkata,Eden Gardens,2019,178,180.0,Delhi Capitals
1178402,Mumbai Indians,Rajasthan Royals,Mumbai,Wankhede Stadium,2019,187,188.0,Rajasthan Royals
1178403,Punjab Kings,Royal Challengers Bangalore,Mohali,Punjab Cricket Association IS Bindra Stadium,2019,173,174.0,Royal Challengers Bangalore
1178404,Kolkata Knight Riders,Chennai Super Kings,Kolkata,Eden Gardens,2019,161,162.0,Chennai Super Kings
1178405,Delhi Capitals,Sunrisers Hyderabad,Hyderabad,Rajiv Gandhi International Stadium,2019,155,116.0,Delhi Capitals
1178406,Royal Challengers Bangalore,Mumbai Indians,Mumbai,Wankhede Stadium,2019,171,172.0,Mumbai Indians
1178407,Punjab Kings,Rajasthan Royals,Mohali,Punjab Cricket Association IS Bindra Stadium,2019,182,170.0,Kings XI Punjab
1178408,Chennai Super Kings,Sunrisers Hyderabad,Hyderabad,Rajiv Gandhi International Stadium,2019,132,137.0,Sunrisers Hyderabad
1178409,Mumbai Indians,Delhi Capitals,Delhi,Arun Jaitley Stadium,2019,168,128.0,Mumbai Indians
1178410,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,Eden Gardens,2019,213,203.0,Royal Challengers Bangalore
1178411,Mumbai Indians,Rajasthan Royals,Jaipur,Sawai Mansingh Stadium,2019,161,162.0,Rajasthan Royals
1178412,Punjab Kings,Delhi Capitals,Delhi,Arun Jaitley Stadium,2019,163,166.0,Delhi Capitals
1178413,Kolkata Knight Riders,Sunrisers Hyderabad,Hyderabad,Rajiv Gandhi International Stadium,2019,159,161.0,Sunrisers Hyderabad
1178414,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,M Chinnaswamy Stadium,2019,161,160.0,Royal Challengers Bangalore
1178415,Rajasthan Royals,Delhi Capitals,Jaipur,Sawai Mansingh Stadium,2019,191,193.0,Delhi Capitals
1178416,Sunrisers Hyderabad,Chennai Super Kings,Chennai,MA Chidambaram Stadium,2019,175,176.0,Chennai Super Kings
1178417,Royal Challengers Bangalore,Punjab Kings,Bengaluru,M Chinnaswamy Stadium,2019,202,185.0,Royal Challengers Bangalore
1178418,Kolkata Knight Riders,Rajasthan Royals,Kolkata,Eden Gardens,2019,175,177.0,Rajasthan Royals
1178419,Mumbai Indians,Chennai Super Kings,Chennai,MA Chidambaram Stadium,2019,155,109.0,Mumbai Indians
1178420,Sunrisers Hyderabad,Rajasthan Royals,Jaipur,Sawai Mansingh Stadium,2019,160,161.0,Rajasthan Royals
1178421,Delhi Capitals,Royal Challengers Bangalore,Delhi,Arun Jaitley Stadium,2019,187,171.0,Delhi Capitals
1178422,Kolkata Knight Riders,Mumbai Indians,Kolkata,Eden Gardens,2019,232,198.0,Kolkata Knight Riders
1178423,Sunrisers Hyderabad,Punjab Kings,Hyderabad,Rajiv Gandhi International Stadium,2019,212,167.0,Sunrisers Hyderabad
1178425,Chennai Super Kings,Delhi Capitals,Chennai,MA Chidambaram Stadium,2019,179,99.0,Chennai Super Kings
1178426,Mumbai Indians,Sunrisers Hyderabad,Mumbai,Wankhede Stadium,2019,162,162.0,Mumbai Indians
1178427,Punjab Kings,Kolkata Knight Riders,Mohali,Punjab Cricket Association IS Bindra Stadium,2019,183,185.0,Kolkata Knight Riders
1178428,Rajasthan Royals,Delhi Capitals,Delhi,Arun Jaitley Stadium,2019,115,121.0,Delhi Capitals
1178429,Sunrisers Hyderabad,Royal Challengers Bangalore,Bengaluru,M Chinnaswamy Stadium,2019,175,178.0,Royal Challengers Bangalore
1178430,Chennai Super Kings,Punjab Kings,Mohali,Punjab Cricket Association IS Bindra Stadium,2019,170,173.0,Kings XI Punjab
1178431,Kolkata Knight Riders,Mumbai Indians,Mumbai,Wankhede Stadium,2019,133,134.0,Mumbai Indians
1181764,Chennai Super Kings,Mumbai Indians,Chennai,MA Chidambaram Stadium,2019,131,132.0,Mumbai Indians
1181766,Sunrisers Hyderabad,Delhi Capitals,Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2019,162,165.0,Delhi Capitals
