match_id,team1,team2,city,venue,season,team1_runs,team2_runs,winner
392221,Royal Challengers Bangalore,Kolkata Knight Riders,Centurion,SuperSport Park,2009,173,176,Royal Challengers Bangalore
392222,Punjab Kings,Mumbai Indians,Centurion,SuperSport Park,2009,119,122,Mumbai Indians
392223,Sunrisers Hyderabad,Delhi Capitals,Durban,Kingsmead,2009,173,161,Delhi Daredevils
392224,Royal Challengers Bangalore,Chennai Super Kings,Durban,Kingsmead,2009,129,132,Royal Challengers Bangalore
392225,Mumbai Indians,Rajasthan Royals,Durban,Kingsmead,2009,145,143,Rajasthan Royals
392226,Delhi Capitals,Punjab Kings,Bloemfontein,OUTsurance Oval,2009,120,123,Kings XI Punjab
392227,Chennai Super Kings,Mumbai Indians,Port Elizabeth,St George's Park,2009,147,151,Chennai Super Kings
392228,Sunrisers Hyderabad,Kolkata Knight Riders,Johannesburg,New Wanderers Stadium,2009,160,166,Deccan Chargers
392229,Sunrisers Hyderabad,Punjab Kings,Johannesburg,New Wanderers Stadium,2009,134,133,Kings XI Punjab
392230,Delhi Capitals,Rajasthan Royals,Bloemfontein,OUTsurance Oval,2009,150,136,Delhi Daredevils
392231,Chennai Super Kings,Kolkata Knight Riders,Centurion,SuperSport Park,2009,188,189,Kolkata Knight Riders
392232,Royal Challengers Bangalore,Delhi Capitals,Johannesburg,New Wanderers Stadium,2009,134,135,Royal Challengers Bangalore
392233,Kolkata Knight Riders,Rajasthan Royals,Durban,Kingsmead,2009,101,102,Kolkata Knight Riders
392234,Chennai Super Kings,Punjab Kings,Durban,Kingsmead,2009,116,92,Chennai Super Kings
392235,Delhi Capitals,Mumbai Indians,Centurion,SuperSport Park,2009,165,166,Delhi Daredevils
392236,Royal Challengers Bangalore,Sunrisers Hyderabad,Centurion,SuperSport Park,2009,170,158,Royal Challengers Bangalore
392237,Delhi Capitals,Sunrisers Hyderabad,Centurion,SuperSport Park,2009,153,154,Deccan Chargers
392238,Royal Challengers Bangalore,Chennai Super Kings,Johannesburg,New Wanderers Stadium,2009,146,149,Royal Challengers Bangalore
392239,Royal Challengers Bangalore,Sunrisers Hyderabad,Johannesburg,New Wanderers Stadium,2009,143,137,Deccan Chargers
419106,Sunrisers Hyderabad,Kolkata Knight Riders,Mumbai,Dr DY Patil Sports Academy,2010,161,150,Kolkata Knight Riders
419107,Mumbai Indians,Rajasthan Royals,Mumbai,Brabourne Stadium,2010,212,208,Mumbai Indians
419108,Punjab Kings,Delhi Capitals,Mohali,Punjab Cricket Association IS Bindra Stadium,2010,142,146,Delhi Daredevils
419109,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata,Eden Gardens,2010,135,136,Kolkata Knight Riders
419110,Chennai Super Kings,Sunrisers Hyderabad,Chennai,MA Chidambaram Stadium,2010,190,159,Deccan Chargers
419111,Rajasthan Royals,Delhi Capitals,Ahmedabad,"Sardar Patel Stadium, Motera",2010,141,142,Delhi Daredevils
419112,Royal Challengers Bangalore,Punjab Kings,Bengaluru,M Chinnaswamy Stadium,2010,203,204,Royal Challengers Bangalore
419113,Kolkata Knight Riders,Chennai Super Kings,Kolkata,Eden Gardens,2010,164,109,Chennai Super Kings
419114,Delhi Capitals,Mumbai Indians,Delhi,Feroz Shah Kotla,2010,218,120,Mumbai Indians
419115,Royal Challengers Bangalore,Rajasthan Royals,Bengaluru,M Chinnaswamy Stadium,2010,92,93,Royal Challengers Bangalore
419116,Delhi Capitals,Chennai Super Kings,Delhi,Feroz Shah Kotla,2010,185,190,Chennai Super Kings
419117,Sunrisers Hyderabad,Punjab Kings,Cuttack,Barabati Stadium,2010,170,164,Deccan Chargers
419118,Rajasthan Royals,Kolkata Knight Riders,Ahmedabad,"Sardar Patel Stadium, Motera",2010,168,134,Rajasthan Royals
419119,Mumbai Indians,Royal Challengers Bangalore,Mumbai,Brabourne Stadium,2010,151,155,Royal Challengers Bangalore
419120,Sunrisers Hyderabad,Delhi Capitals,Cuttack,Barabati Stadium,2010,171,161,Deccan Chargers
419121,Chennai Super Kings,Punjab Kings,Chennai,MA Chidambaram Stadium,2010,136,136,Kings XI Punjab
419122,Mumbai Indians,Kolkata Knight Riders,Mumbai,Brabourne Stadium,2010,155,156,Mumbai Indians
419123,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,M Chinnaswamy Stadium,2010,171,135,Royal Challengers Bangalore
419124,Punjab Kings,Rajasthan Royals,Mohali,Punjab Cricket Association IS Bindra Stadium,2010,183,152,Rajasthan Royals
419125,Chennai Super Kings,Mumbai Indians,Mumbai,Brabourne Stadium,2010,180,181,Mumbai Indians
419128,Royal Challengers Bangalore,Delhi Capitals,Bengaluru,M Chinnaswamy Stadium,2010,183,166,Delhi Daredevils
419126,Rajasthan Royals,Sunrisers Hyderabad,Ahmedabad,"Sardar Patel Stadium, Motera",2010,148,151,Rajasthan Royals
419127,Punjab Kings,Kolkata Knight Riders,Mohali,Punjab Cricket Association IS Bindra Stadium,2010,183,144,Kolkata Knight Riders
419129,Rajasthan Royals,Chennai Super Kings,Ahmedabad,"Sardar Patel Stadium, Motera",2010,177,160,Rajasthan Royals
419130,Sunrisers Hyderabad,Mumbai Indians,Mumbai,Dr DY Patil Sports Academy,2010,172,131,Mumbai Indians
419131,Delhi Capitals,Kolkata Knight Riders,Delhi,Feroz Shah Kotla,2010,177,137,Delhi Daredevils
419132,Mumbai Indians,Punjab Kings,Mumbai,Brabourne Stadium,2010,163,164,Mumbai Indians
419133,Chennai Super Kings,Royal Challengers Bangalore,Chennai,MA Chidambaram Stadium,2010,161,162,Chennai Super Kings
419134,Delhi Capitals,Rajasthan Royals,Delhi,Feroz Shah Kotla,2010,188,121,Delhi Daredevils
419135,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,Eden Gardens,2010,181,157,Kolkata Knight Riders
419136,Punjab Kings,Royal Challengers Bangalore,Mohali,Punjab Cricket Association IS Bindra Stadium,2010,181,184,Royal Challengers Bangalore
419137,Chennai Super Kings,Rajasthan Royals,Chennai,MA Chidambaram Stadium,2010,246,223,Chennai Super Kings
419138,Mumbai Indians,Sunrisers Hyderabad,Mumbai,Brabourne Stadium,2010,178,115,Mumbai Indians
419139,Kolkata Knight Riders,Punjab Kings,Kolkata,Eden Gardens,2010,200,204,Kings XI Punjab
419140,Delhi Capitals,Royal Challengers Bangalore,Delhi,Feroz Shah Kotla,2010,184,147,Delhi Daredevils
419141,Sunrisers Hyderabad,Rajasthan Royals,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",2010,159,157,Rajasthan Royals
419142,Chennai Super Kings,Mumbai Indians,Chennai,MA Chidambaram Stadium,2010,165,141,Chennai Super Kings
419143,Rajasthan Royals,Punjab Kings,Jaipur,Sawai Mansingh Stadium,2010,153,157,Rajasthan Royals
419144,Kolkata Knight Riders,Delhi Capitals,Kolkata,Eden Gardens,2010,181,167,Kolkata Knight Riders
419145,Royal Challengers Bangalore,Sunrisers Hyderabad,Bengaluru,M Chinnaswamy Stadium,2010,184,186,Deccan Chargers
419146,Punjab Kings,Mumbai Indians,Mohali,Punjab Cricket Association IS Bindra Stadium,2010,154,158,Kings XI Punjab
419147,Sunrisers Hyderabad,Chennai Super Kings,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",2010,138,139,Deccan Chargers
419148,Royal Challengers Bangalore,Kolkata Knight Riders,Bengaluru,M Chinnaswamy Stadium,2010,160,162,Royal Challengers Bangalore
419149,Delhi Capitals,Punjab Kings,Delhi,Feroz Shah Kotla,2010,111,112,Kings XI Punjab
419150,Rajasthan Royals,Mumbai Indians,Jaipur,Sawai Mansingh Stadium,2010,174,137,Mumbai Indians
419151,Sunrisers Hyderabad,Royal Challengers Bangalore,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",2010,151,138,Deccan Chargers
419152,Mumbai Indians,Delhi Capitals,Mumbai,Brabourne Stadium,2010,183,144,Mumbai Indians
419153,Chennai Super Kings,Kolkata Knight Riders,Chennai,MA Chidambaram Stadium,2010,139,143,Chennai Super Kings
419154,Rajasthan Royals,Royal Challengers Bangalore,Jaipur,Sawai Mansingh Stadium,2010,130,132,Royal Challengers Bangalore
419155,Chennai Super Kings,Delhi Capitals,Chennai,MA Chidambaram Stadium,2010,112,113,Delhi Daredevils
419156,Punjab Kings,Sunrisers Hyderabad,Dharamshala,Himachal Pradesh Cricket Association Stadium,2010,174,178,Deccan Chargers
419157,Royal Challengers Bangalore,Mumbai Indians,Bengaluru,M Chinnaswamy Stadium,2010,191,134,Mumbai Indians
419158,Kolkata Knight Riders,Rajasthan Royals,Kolkata,Eden Gardens,2010,132,133,Kolkata Knight Riders
419159,Punjab Kings,Chennai Super Kings,Dharamshala,Himachal Pradesh Cricket Association Stadium,2010,192,195,Chennai Super Kings
419160,Delhi Capitals,Sunrisers Hyderabad,Delhi,Feroz Shah Kotla,2010,145,134,Deccan Chargers
419161,Kolkata Knight Riders,Mumbai Indians,Kolkata,Eden Gardens,2010,133,135,Kolkata Knight Riders
419162,Royal Challengers Bangalore,Mumbai Indians,Mumbai,Dr DY Patil Sports Academy,2010,184,149,Mumbai Indians
419163,Chennai Super Kings,Sunrisers Hyderabad,Mumbai,Dr DY Patil Sports Academy,2010,142,104,Chennai Super Kings
419164,Royal Challengers Bangalore,Sunrisers Hyderabad,Mumbai,Dr DY Patil Sports Academy,2010,82,86,Royal Challengers Bangalore
419165,Chennai Super Kings,Mumbai Indians,Mumbai,Dr DY Patil Sports Academy,2010,168,146,Chennai Super Kings
